pageid	primary_platform	platforms
357868	playstation	ms-dos,3do interactive multiplayer,mac os 7,playstation (console),microsoft windows
358144	zx spectrum	arcade game,amiga,atari st,commodore 64,game gear,ms-dos,msx,nintendo entertainment system,sega master system,zx spectrum,sharp x68000
358701	nintendo 64	game boy color,game boy advance,microsoft windows,playstation (console),nintendo 64,dreamcast,playstation 2,nintendo gamecube
359403	apple ii	microsoft windows,apple macintosh,amiga,atari st,apple iigs,msx
360793	xbox	microsoft windows,xbox (console)
362413	mac os x	macintosh
362641	playstation 2	playstation 2,microsoft windows,xbox (console),os x,android (operating system),ios,fire os
363604	nintendo gamecube	gamecube
364017	apple ii	apple ii,plato
364952	zx spectrum	zx spectrum,bbc micro,acorn electron,commodore 64,commodore 16,dragon 32,atari 8-bit family,msx,amstrad cpc,memotech mtx,ti-99/4a
365628	atari 2600	atari 2600
367924	playstation 3	microsoft windows,os x,n-gage (device),xbox 360,playstation 3
368150	ios game	microsoft windows,linux,mac os x,ios,android (operating system)
368889	apple macintosh	microsoft windows,mac os,mac os x
373301	leapster	leapster
374914	playstation	nintendo entertainment system,playstation (console),mobile phone,ios
376475	microsoft windows	microsoft windows
376840	cross-platform	cross-platform
377835	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,ibm pc,nintendo entertainment system,turbografx-16,playstation 3,sega master system,zx spectrum,wii,xbox 360
379284	zx spectrum	amstrad cpc,apple ii,atari 5200,atari 8-bit,commodore 64,commodore 128,trs-80 coco,zx spectrum
379591	microsoft windows	microsoft windows,os x
381430	apple macintosh	microsoft windows,mac os
381963	nintendo gamecube	nintendo entertainment system,super nintendo entertainment system,satellaview,nintendo gamecube,animal crossing (video game)
381964	nintendo gamecube	nintendo gamecube
382574	arcade game	arcade game
383544	nintendo famicom	nintendo entertainment system,nec pc-8801,sharp x1,arcade game,family computer disk system,game boy advance,nintendo e-reader,virtual console
383712	microsoft windows	microsoft windows
386967	apple ii	amiga,apple ii family,atari st,commodore 128,ms-dos,apple macintosh
387275	nintendo gamecube	xbox (console),playstation 2,nintendo gamecube,microsoft windows
389840	nintendo gamecube	gamecube
389955	nintendo gamecube	playstation 2,xbox (console),gamecube
389975	arcade game	arcade game
391304	atari 2600	arcade game,atari 2600,atari 5200,vectrex
393009	playchoice-10	nintendo entertainment system,playchoice-10
395696	ios game	android,linux,windows,ios
396077	sega dreamcast	arcade game,dreamcast,microsoft windows,game boy advance,n-gage (device)
396118	linux game	microsoft windows,linux
398631	playstation 2	playstation 2
399409	ms-dos	ms-dos,super nintendo entertainment system,nintendo entertainment system
399418	game boy advance	game boy advance
399790	aros	linux,aros,macintosh,universal binary,microsoft windows,morphos
400023	super nintendo entertainment system snes	dos,mac os,snes,fm towns,android (operating system),ios,xbox (console)
400618	microsoft windows	microsoft windows,os x
401175	linux game	microsoft windows,os x,linux
401326	microsoft windows	microsoft windows
402013	mac os x	microsoft windows,mac os x
402330	apple ii	amiga,apple ii,apple iigs,atari st,commodore 64,dos,mac os
402506	apple macintosh	mac os,microsoft windows
403307	apple macintosh	microsoft windows,macos
404020	playstation 2	playstation,playstation 2,playstation,playstation 2
405180	nintendo gamecube	playstation 2,xbox (console),gamecube,playstation network
405182		
405665	nintendo 64	nintendo 64
405674	nintendo 64	nintendo 64
406744	cross-platform	cross-platform
407505	microsoft windows	microsoft windows
408094	microsoft windows	microsoft windows
408101	sega master system	master system
408407	linux game	microsoft windows,os x,linux
408491	playstation 3	amiga,amiga cd32,ms-dos,android (operating system),ios,playstation 3,playstation vita,playstation mobile
408559	nintendo game boy	nintendo entertainment system,game boy
408567	nintendo game boy	nintendo entertainment system,game boy
410696	apple ii	apple ii,dos
411359	apple macintosh	personal computer,microsoft windows,apple macintosh
411941	nintendo wii	master system,virtual console
413513	atari 2600	arcade game,atari 2600,atari 5200,atari 8-bit family,colecovision,commodore 64,msx,commodore vic-20,intellivision,nintendo entertainment system,magnavox odyssey,mobile game,sg-1000,texas instruments ti-99/4a,playstation 3,playstation 4
414357	nec pc-88	sharp x1,nec pc-8801,fm-7,sharp mz,nec pc-6001 mkii,pc-9801
414617	microsoft windows	microsoft windows
417073	sega dreamcast	dreamcast
417121	nintendo game boy	game boy
417150	mac os x	microsoft windows,mac os x,mobile game
418121	nintendo game boy	nintendo entertainment system,game boy
418594	nintendo gamecube	nintendo gamecube
419271	playstation 2	playstation 2,microsoft windows,xbox 360
419692	handheld electronic game	handheld tv game
420471	nintendo ds	microsoft windows,macintosh,playstation (console),xbox 360,xbox one,playstation 3,playstation 4,wii,nintendo ds,ios,android (operating system),ouya,roku
421077	microsoft windows	microsoft windows
422514	playstation	nintendo entertainment system,playchoice-10,playstation (console),mobile phone
422516	playstation	nintendo entertainment system,playstation (console),mobile phone
423074	pc game	personal computer,microsoft windows
424580	sega dreamcast	dreamcast,playstation,playstation 2,windows,xbox,ipod
425533		
427158	super nintendo entertainment system	super nintendo entertainment system
428690	mac os x	microsoft windows,mac os x
428748	nintendo entertainment system	nintendo entertainment system
429274	microsoft windows	microsoft windows
429574	sega dreamcast	microsoft windows,playstation (console),dreamcast,game boy color
430549	game boy advance	game boy advance
430709	apple macintosh	personal computer,cd-i,mac os,ios,os x,linux
431119	super nintendo entertainment system	super nintendo entertainment system
431194	nintendo 64	nintendo 64
431232	nintendo gamecube	gamecube
431282	game boy advance	game boy advance
431299	nintendo 64	nintendo 64
431668	nintendo wii	game boy color,virtual console
431727	super nintendo entertainment system	super nintendo entertainment system
432136	nintendo game boy	game boy,game boy color
432255	playstation 2	microsoft windows,playstation 2,os x
434251	apple macintosh	personal computer,microsoft windows,apple macintosh
436015	zx spectrum	arcade game,master system,commodore 64,nintendo entertainment system,turbografx-16,amstrad cpc,zx spectrum,amiga,atari st,mobile game,virtual console,playstation network,xbox live arcade
436134	ms-dos	dos,amiga,macintosh
437210	nintendo game boy	arcade games,nintendo entertainment system,nintendo entertainment system,playchoice-10,game boy,virtual console
440119	nintendo wii	game boy advance,virtual console
440547	sega mega drive/genesis	sega genesis,sega saturn,microsoft windows
440578	nintendo game boy	nintendo entertainment system,game boy
440904	sega mega drive/genesis	sega genesis,microsoft windows
440994	sega 32x	sega 32x
442252	nintendo 3ds	game gear,master system,nintendo 3ds,virtual console
442310	atari 8-bit	atari 8-bit family
442317	game boy advance	game boy advance,nokia n-gage,android (operating system)
442362	game boy advance	game boy advance
442504	nintendo game boy	game boy,game boy color,virtual console
442508	nintendo wii	game boy color,virtual console
442510	nintendo wii	game boy advance,virtual console
442512	nintendo gamecube	gamecube
442549	super nintendo entertainment system	super nintendo entertainment system
442720	apple ii	amiga,apple ii family,atari st,commodore 128,ms-dos,apple macintosh
443342	sega saturn	arcade game,sega saturn,playstation (console),playstation 2,microsoft windows
443989		
444481	sega mega drive/genesis	fm towns,nec pc-9801,super nintendo entertainment system,sega genesis,x68000
445075	sega dreamcast	arcade game,dreamcast
445095	nintendo gamecube	gamecube
445630	apple ii	atari 2600,atari 5200,atari 8-bit family,nintendo entertainment system,homebrew (video games),colecovision,msx,commodore 64,intellivision,apple ii,microsoft windows,xbox 360,windows mobile,ios,android (operating system)
445706	xbox	xbox (console)
447357	wii u	super nintendo entertainment system,sega saturn,playstation (console),wii,virtual console,playstation portable,wii u
447381	playstation 2	arcade,pc,playstation,playstation 2
449098	arcade game	arcade game
452428	nintendo 3ds	playstation (console),nintendo 3ds,android (operating system),ios
452729	ms-dos	ms-dos
452740	playstation	playstation (console)
453246		
453983	microsoft windows	microsoft windows
454022	linux game	microsoft windows,os x,linux
454096	super nintendo entertainment system snes	super nes,sega genesis,game boy advance
455202	sega dreamcast	dreamcast,playstation portable,crazy taxi: fare wars
455203	xbox	xbox (console),microsoft windows
455799	ios game	microsoft windows,ios
455898	microsoft windows	microsoft windows
459250	arcade game	arcade game,ms. pac-man
462914	nintendo ds	microsoft windows,os x,game boy advance,gamecube,nintendo ds,playstation 2,xbox (console),playstation portable
463238	microsoft windows	microsoft windows
463876	sega saturn	ms-dos,mac os,playstation (console),sega saturn,android (operating system),ios
464234	super nintendo entertainment system	super nintendo entertainment system
464251	nintendo wii	super nintendo entertainment system,mobile phone,wii virtual console
464559	playstation 4	arcade game,tomy tutor,vectrex,xbox 360,xbox live arcade,windows mobile,game boy advance,playstation (console),playstation 2,playstation 4
465388	super nintendo entertainment system snes	arcade game,neo geo (console),neo-geo cd,snes,sega genesis,pc engine cd,playstation 2,virtual console,wii
466100	sega mega cd	super nintendo entertainment system,pc engine,sega cd,playstation (console),game boy advance,android (operating system),ios
466624	ms-dos	ms-dos
466705	sega dreamcast	microsoft windows,classic mac os,linux,playstation 2,dreamcast
466999	xbox 360	arcade game,xbox 360,xbox live arcade
467447	arcade game	arcade game
467624	microsoft windows	microsoft windows,os x
469028	nintendo gamecube	dreamcast,gamecube
469185	nintendo gamecube	gamecube,wii
469659	cross-platform	cross-platform
470253	zx spectrum	arcade game,virtual console,nintendo entertainment system,msx,nec pc-8801,windows mobile,game boy color,playstation,sega saturn,xbox (console),playstation 2,amstrad cpc,zx spectrum,commodore 64,psp
470260	sega 32x	sega cd,sega 32x,3do interactive multiplayer,ms-dos,mac os
471851	nintendo wii	video arcade,dreamcast,wii
472115	nintendo wii	arcade game,neo-geo cd,neo geo pocket color,playstation (console),playstation 2,playstation network,virtual console,steam (software)
472842	nintendo entertainment system nes	arcade game,amiga,amstrad cpc,atari st,commodore 64,ms-dos,msx,nes,pc engine,sega 32x,sega master system,zx spectrum
473068	sega mega drive/genesis	ms-dos,mega drive
473111	apple ii	commodore 64,apple ii,ms-dos,amiga
474278	linux game	microsoft windows,os x,linux
474412	nintendo wii	super nintendo entertainment system,virtual console
477505	xbox one	xbox (console),microsoft windows,xbox one
478844	playstation 2	arcade game,playstation 2
479423	microsoft windows	microsoft windows
480638	sega mega drive/genesis	sega genesis
482788	arcade game	arcade game,xbox live arcade,playstation network
483678	mac os x	windows,macintosh
483684	mac os x	microsoft windows,mac os x,telnet
486258	zx spectrum	arcade game,atari 8-bit family,apple ii family,msx,zx spectrum,commodore 64,colecovision,nintendo entertainment system,bbc micro,acorn electron,ibm pc,amstrad cpc,amiga,ios (apple),atari 2600,intellivision,mac os,xbox 360,atari st,amiga,game boy,game boy advance,nintendo ds,nintendo 3ds,android smartphones &amp; tablets (page does not exist)
486521	nintendo 64	nintendo 64
487452	sega mega drive/genesis	nintendo entertainment system,sega genesis
488056	nintendo game boy	atari 8-bit family,apple ii,atari 2600,atari 5200,vic-20,commodore 64,colecovision,ms-dos,fujitsu fm-7,nec pc-8801,pc booter,sharp x1,sony smc-777 (page does not exist),thomson mo5,thomson to7,ti-99/4a,super cassette vision,game boy,windows mobile,blackberry,ios
488916	linux game	microsoft windows,os x,linux
489000	playstation 2	playstation 2,mobile game
490572	zx spectrum	arcade game,nintendo entertainment system,playchoice-10,msx,zx spectrum,amstrad cpc,commodore 64,microsoft windows,ms-dos
490832	game boy color	game boy color
491248		
491663	super nintendo entertainment system	super nintendo entertainment system
491667	sega mega drive/genesis	arcade game,arcade game,mega drive,zx spectrum,commodore 64,amstrad cpc,atari st,commodore amiga,ibm pc,ios,android (operating system),pc engine cd
491674	game boy advance	game boy advance
493608	apple ii	amiga,apple ii family,atari st,commodore 64,ms-dos,apple macintosh,nec pc-9801
493990	nintendo ds	microsoft windows,mac os x,adobe flash,html5,palm os,windows mobile,blackberry 10,java me,ios,android (operating system),windows phone,xbox (console),facebook,nintendo ds
495787	apple ii	apple ii,commodore 64,ms-dos,classic mac os
496392	microsoft windows	microsoft windows
497394	sega mega drive/genesis	arcade game,amstrad cpc,amiga,atari st,commodore 64,zx spectrum,dos,game boy,mega drive,ios,android (operating system)
497525	playstation 3	playstation 2,microsoft windows,xbox (console),xbox 360,os x,playstation 3,ios,android (operating system),windows phone,fire os
498705		
501394	microsoft windows	windows
501566	nintendo 64	nintendo 64
501594	playstation 2	microsoft windows,xbox (console),playstation 2
501663	microsoft windows	microsoft windows
501902		
502020	microsoft windows	microsoft windows
504238	nintendo entertainment system nes	amstrad cpc,apple ii family,atari 8-bit family,atari st,commodore 64,commodore amiga,apple iigs,ibm pc,nes,trs-80,zx spectrum
